timestamp,counter,Latitude,Longitude,Snow Depth m,geometry
2017-11-14 15:15:18.75,100001,65.04118167,-147.4170117,0.34740000000000004,POINT (480365.511973803 7213108.989440327)
2017-11-14 15:16:08,100002,65.04118167,-147.4170117,0.3468,POINT (480365.511973803 7213108.989440327)
2017-11-14 15:16:08.25,110001,65.04117,-147.4169767,0.3579,POINT (480367.1513060884 7213107.677983416)
2017-11-14 15:16:09,110002,65.04116,-147.4169716,0.3574,POINT (480367.3840774932 7213106.561931733)
2017-11-14 15:16:09.5,110003,65.041165,-147.41698,0.3574,POINT (480366.9922546006 7213107.121774931)
2017-11-14 15:16:10.5,110004,65.04030833,-147.4180283,0.855,POINT (480317.0033320736 7213011.974792102)
2017-11-14 15:16:11,110005,65.04029,-147.4179883,1.168,POINT (480318.8732121101 7213009.919516456)
2017-11-14 15:16:11.75,110006,65.04029167,-147.4179883,1.199,POINT (480318.8744430899 7213010.105632465)
2017-11-14 15:16:12.25,110007,65.040295,-147.41798,0.845,POINT (480319.2677015752 7213010.474165241)
2017-11-14 15:16:12.75,110008,65.040295,-147.41798,-0.0011,POINT (480319.2677015752 7213010.474165241)
2017-11-14 15:16:13.5,110009,65.040295,-147.41798,-0.0006,POINT (480319.2677015752 7213010.474165241)
2017-11-14 15:16:14.25,110010,65.040295,-147.4179816,1.198,POINT (480319.1923658847 7213010.474663507)
2017-11-14 15:16:15.5,110011,65.040295,-147.41798,1.196,POINT (480319.2677015752 7213010.474165241)
2017-11-14 15:16:16.25,110012,65.04030334,-147.4179933,0.8440000000000001,POINT (480318.647621245 7213011.407772695)
2017-11-14 15:16:16.75,110013,65.04031833,-147.418,0.8540000000000001,POINT (480318.3432027821 7213013.080445454)
2017-11-14 15:16:17.5,110014,65.04032833,-147.4179967,0.948,POINT (480318.5059537956 7213014.19388485)
2017-11-14 15:16:18.5,110015,65.04034167,-147.4179917,0.902,POINT (480318.7512107163 7213015.679026855)
2017-11-14 15:16:19.5,110016,65.040345,-147.4179683,1.028,POINT (480319.8554477423 7213016.042857308)
2017-11-14 15:16:20.25,110017,65.04035,-147.41797,0.912,POINT (480319.7790891296 7213016.600620256)
2017-11-14 15:16:20.75,110018,65.04035334,-147.41798,0.9059999999999999,POINT (480319.310703943 7213016.97596638)
2017-11-14 15:16:21.5,110019,65.04036666,-147.4179783,1.043,POINT (480319.4005660649 7213018.45990718)
2017-11-14 15:16:22,110020,65.04037833,-147.4179683,0.986,POINT (480319.8800145788 7213019.757376215)
2017-11-14 15:16:22.75,110021,65.04038666,-147.41797,1.042,POINT (480319.8061105499 7213020.686256719)
2017-11-14 15:16:23.5,110022,65.04039667,-147.41798,0.9420000000000001,POINT (480319.3426424651 7213021.804952416)
2017-11-14 15:16:24,110023,65.04041333,-147.4179567,0.976,POINT (480320.4519936856 7213023.654398905)
2017-11-14 15:16:24.5,110024,65.04041666,-147.4179967,0.8590000000000001,POINT (480318.5710643959 7213024.037972913)
2017-11-14 15:16:25.25,110025,65.04041834,-147.4179683,0.877,POINT (480319.9095051107 7213024.216359186)
2017-11-14 15:16:26,110026,65.04043167,-147.417955,1.0290000000000001,POINT (480320.5455551028 7213025.69780225)
2017-11-14 15:16:26.75,110027,65.04043667,-147.417955,0.841,POINT (480320.5492403818 7213026.255035815)
2017-11-14 15:16:27.5,110028,65.04045333,-147.417975,0.872,POINT (480319.6198291779 7213028.117966104)
2017-11-14 15:16:28,110029,65.040455,-147.4179717,0.9890000000000001,POINT (480319.776439052 7213028.303054468)
2017-11-14 15:16:28.75,110030,65.04047334,-147.4179816,0.8590000000000001,POINT (480319.3238207257 7213030.35007016)
2017-11-14 15:16:29.5,110031,65.04047667,-147.4179967,0.907,POINT (480318.6152995314 7213030.725890159)
2017-11-14 15:16:30.25,110032,65.040485,-147.417995,0.966,POINT (480318.7014834237 7213031.653711862)
2017-11-14 15:16:31,110033,65.04050166,-147.41795,0.992,POINT (480320.8325638651 7213033.496400777)
2017-11-14 15:16:31.5,110034,65.04051,-147.4179783,0.894,POINT (480319.5062215352 7213034.434679025)
2017-11-14 15:16:32,110035,65.04052834,-147.417975,0.9740000000000001,POINT (480319.6751184041 7213036.47758411)
2017-11-14 15:16:32.75,110036,65.04055167,-147.4179717,0.9129999999999999,POINT (480319.8476931229 7213039.076608318)
2017-11-14 15:16:33.25,110037,65.04055333,-147.4179733,0.833,POINT (480319.7735817239 7213039.262108115)
2017-11-14 15:16:34,110038,65.04057,-147.4179834,0.7118000000000001,POINT (480319.310317344 7213041.123070105)
2017-11-14 15:16:34.75,110039,65.04058,-147.4179616,0.981,POINT (480320.3441262448 7213042.23074859)
2017-11-14 15:16:35.5,110040,65.04060167,-147.4179783,0.8170000000000001,POINT (480319.573791274 7213044.65099937)
2017-11-14 15:16:36.25,110041,65.0406,-147.417995,0.6663,POINT (480318.7862530274 7213044.470084019)
2017-11-14 15:16:36.75,110042,65.04061167,-147.417985,1.094,POINT (480319.2656977884 7213045.767552994)
2017-11-14 15:16:37.5,110043,65.04061833,-147.417965,0.89,POINT (480320.2122916727 7213046.503559957)
2017-11-14 15:16:38.25,110044,65.04064166,-147.41798,0.848,POINT (480319.5232246907 7213049.108282934)
2017-11-14 15:16:39,110045,65.040655,-147.4179583,0.97,POINT (480320.5547841538 7213050.588224671)
2017-11-14 15:16:39.5,110046,65.040665,-147.4179634,1.051,POINT (480320.3220255963 7213051.704279962)
2017-11-14 15:16:40.25,110047,65.04066833,-147.417935,1.045,POINT (480321.6616698672 7213052.066554094)
