"TOA5","29036","CR800","29036","CR800.Std.27","CPU:Geophys1_GPSProbe.CR8","43006","OperatorView"
"TIMESTAMP","RECORD","Counter","DepthCm","BattVolts","latitude_a","latitude_b","Longitude_a","Longitude_b","fix_quality","nmbr_satellites","HDOP","altitudeB","DepthVolts","LatitudeDDDDD","LongitudeDDDDD","month","dayofmonth","hourofday","minutes","seconds","microseconds"
"TS","RN","","","","degrees","minutes","degrees","minutes","unitless","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2017-04-17 14:23:24.5",6437,990001,-0.11,12.46,70,29.7458,-149,-53.0548,2,10,0.8,2.9,-0.01,0.4957633,-0.8842466,4,17,14,23,24,500000
"2017-04-17 14:23:25.25",6438,990002,119.5,12.48,70,29.7454,-149,-53.0552,2,9,1,2.6,7.801,0.4957566,-0.8842534,4,17,14,23,25,250000
"2017-04-17 14:23:26",6439,990003,-0.11,12.48,70,29.7454,-149,-53.0551,2,11,0.8,2.6,-0.01,0.4957566,-0.8842517,4,17,14,23,26,0
"2017-04-17 14:23:26.5",6440,990004,119.6,12.47,70,29.7454,-149,-53.0551,2,11,0.7,2.6,7.804,0.4957566,-0.8842517,4,17,14,23,26,500000
"2017-04-17 14:23:27",6441,990005,-0.11,12.46,70,29.7454,-149,-53.0551,2,11,0.8,2.6,-0.01,0.4957566,-0.8842517,4,17,14,23,27,0
"2017-04-17 14:23:27.75",6442,990006,119.6,12.47,70,29.7454,-149,-53.0551,2,11,0.8,2.6,7.804,0.4957566,-0.8842517,4,17,14,23,27,750000
"2017-04-17 14:23:28.5",6443,104171,48.59,12.38,70,29.7402,-149,-52.9893,2,10,0.8,-1.4,3.172,0.49567,-0.883155,4,17,14,23,28,500000
"2017-04-17 14:23:29.5",6444,104172,59.71,12.36,70,29.7393,-149,-52.9898,2,10,0.8,-1,3.898,0.495655,-0.8831634,4,17,14,23,29,500000
"2017-04-17 14:23:30.25",6445,104173,60.6,12.38,70,29.7393,-149,-52.9907,2,10,0.8,-0.5,3.956,0.495655,-0.8831783,4,17,14,23,30,250000
"2017-04-17 14:23:30.75",6446,104174,65.22,12.38,70,29.7384,-149,-52.9905,2,10,0.8,0,4.257,0.49564,-0.883175,4,17,14,23,30,750000
"2017-04-17 14:23:31.75",6447,104175,80.2,12.38,70,29.7377,-149,-52.989,2,10,0.8,0,5.233,0.4956283,-0.88315,4,17,14,23,31,750000
"2017-04-17 14:23:32.75",6448,104176,71.39,12.36,70,29.7366,-149,-52.9891,2,10,0.8,0.6,4.66,0.49561,-0.8831517,4,17,14,23,32,750000
"2017-04-17 14:23:33.25",6449,104177,58.88,12.36,70,29.7361,-149,-52.9864,2,10,0.7,1.1,3.843,0.4956016,-0.8831066,4,17,14,23,33,250000
"2017-04-17 14:23:34",6450,104178,39.42,12.37,70,29.7357,-149,-52.9857,2,10,0.7,1.7,2.573,0.495595,-0.883095,4,17,14,23,34,0
"2017-04-17 14:23:34.75",6451,104179,36.58,12.35,70,29.7353,-149,-52.9825,2,10,0.7,2,2.388,0.4955883,-0.8830416,4,17,14,23,34,750000
"2017-04-17 14:23:36",6452,104180,43.81,12.36,70,29.7352,-149,-52.9821,2,10,0.7,1.7,2.86,0.4955867,-0.883035,4,17,14,23,36,0
"2017-04-17 14:23:36.5",6453,104181,34.02,12.36,70,29.735,-149,-52.9796,2,10,0.7,2.2,2.221,0.4955834,-0.8829934,4,17,14,23,36,500000
"2017-04-17 14:23:37.25",6454,104182,50.54,12.35,70,29.7353,-149,-52.9785,2,10,0.7,1.9,3.299,0.4955883,-0.882975,4,17,14,23,37,250000
"2017-04-17 14:23:38",6455,104183,55.98,12.37,70,29.7355,-149,-52.9763,2,10,0.7,1.6,3.654,0.4955917,-0.8829383,4,17,14,23,38,0
"2017-04-17 14:23:38.75",6456,104184,68.83,12.37,70,29.7364,-149,-52.9738,2,10,0.7,1.9,4.493,0.4956067,-0.8828966,4,17,14,23,38,750000
"2017-04-17 14:23:39.75",6457,104185,70.77,12.37,70,29.7369,-149,-52.974,2,10,0.7,1.5,4.62,0.495615,-0.8829,4,17,14,23,39,750000
"2017-04-17 14:23:40.25",6458,104186,58.99,12.37,70,29.737,-149,-52.9738,2,10,0.8,1.4,3.85,0.4956166,-0.8828966,4,17,14,23,40,250000
"2017-04-17 14:23:41",6459,104187,63.49,12.35,70,29.7377,-149,-52.9747,2,10,0.7,0.7,4.144,0.4956283,-0.8829117,4,17,14,23,41,0
"2017-04-17 14:23:41.75",6460,104188,73.72,12.37,70,29.7382,-149,-52.9737,2,10,0.7,1.2,4.812,0.4956366,-0.882895,4,17,14,23,41,750000
"2017-04-17 14:23:42.25",6461,104189,73.5,12.36,70,29.7391,-149,-52.9771,2,10,0.7,0.6,4.797,0.4956517,-0.8829517,4,17,14,23,42,250000
"2017-04-17 14:23:43.25",6462,104190,61.38,12.36,70,29.7395,-149,-52.9779,2,10,0.7,0.1,4.006,0.4956583,-0.882965,4,17,14,23,43,250000
"2017-04-17 14:23:44",6463,104191,56.26,12.36,70,29.7401,-149,-52.9807,2,10,0.7,-1.1,3.672,0.4956684,-0.8830117,4,17,14,23,44,0
"2017-04-17 14:23:44.75",6464,104192,45.09,12.35,70,29.7408,-149,-52.9838,2,10,0.7,-1.8,2.943,0.49568,-0.8830633,4,17,14,23,44,750000
"2017-04-17 14:23:45.5",6465,104193,42.14,12.37,70,29.7408,-149,-52.9852,2,10,0.7,-1,2.751,0.49568,-0.8830866,4,17,14,23,45,500000
"2017-04-17 14:23:46.25",6466,104194,47.76,12.35,70,29.7411,-149,-52.9857,2,10,0.7,-0.1,3.117,0.495685,-0.883095,4,17,14,23,46,250000
"2017-04-17 14:23:47",6467,104195,50.59,12.35,70,29.7408,-149,-52.9874,2,10,0.7,1.7,3.302,0.49568,-0.8831234,4,17,14,23,47,0
"2017-04-17 14:23:48",6468,104196,64.49,12.36,70,29.7408,-149,-52.9887,2,10,0.7,2.2,4.209,0.49568,-0.883145,4,17,14,23,48,0
"2017-04-17 14:23:49",6469,104197,73.94,12.34,70,29.7395,-149,-52.9914,2,10,0.7,2.1,4.826,0.4956583,-0.88319,4,17,14,23,49,0
"2017-04-17 14:23:50.25",6470,104198,77.44,12.36,70,29.7382,-149,-52.9929,2,10,0.7,1.7,5.055,0.4956366,-0.883215,4,17,14,23,50,250000
"2017-04-17 14:23:51",6471,104199,84.6,12.34,70,29.7371,-149,-52.996,2,10,0.7,1.1,5.523,0.4956184,-0.8832666,4,17,14,23,51,0
"2017-04-17 14:23:51.75",6472,104200,84.2,12.34,70,29.7362,-149,-52.9953,2,10,0.7,0.4,5.498,0.4956034,-0.883255,4,17,14,23,51,750000
"2017-04-17 14:23:52.5",6473,104201,83.9,12.35,70,29.7358,-149,-52.9958,2,10,0.7,0.7,5.476,0.4955967,-0.8832634,4,17,14,23,52,500000
"2017-04-17 14:23:53",6474,104202,57.15,12.34,70,29.7355,-149,-52.9944,2,10,0.7,0.9,3.73,0.4955917,-0.88324,4,17,14,23,53,0
"2017-04-17 14:23:53.5",6475,104203,44.36,12.34,70,29.735,-149,-52.9921,2,10,0.7,0.8,2.896,0.4955834,-0.8832017,4,17,14,23,53,500000
"2017-04-17 14:23:54.75",6476,104204,38.64,12.33,70,29.7342,-149,-52.9907,2,10,0.7,0.6,2.522,0.49557,-0.8831783,4,17,14,23,54,750000
"2017-04-17 14:23:55.25",6477,104205,45.86,12.35,70,29.7338,-149,-52.99,2,10,0.7,0.4,2.994,0.4955634,-0.8831666,4,17,14,23,55,250000
"2017-04-17 14:23:56.25",6478,104206,43.59,12.35,70,29.7335,-149,-52.987,2,10,0.7,0.7,2.845,0.4955583,-0.8831166,4,17,14,23,56,250000
"2017-04-17 14:23:57",6479,104207,35.47,12.35,70,29.7336,-149,-52.984,2,10,0.7,0.5,2.315,0.49556,-0.8830667,4,17,14,23,57,0
"2017-04-17 14:23:57.75",6480,104208,47.37,12.34,70,29.7339,-149,-52.9818,2,10,0.7,0.3,3.092,0.495565,-0.88303,4,17,14,23,57,750000
"2017-04-17 14:23:58.5",6481,104209,54.65,12.35,70,29.734,-149,-52.9782,2,10,0.7,-0.3,3.567,0.4955667,-0.88297,4,17,14,23,58,500000
"2017-04-17 14:23:59.5",6482,104210,62.82,12.34,70,29.7342,-149,-52.9764,2,10,0.7,0.1,4.101,0.49557,-0.88294,4,17,14,23,59,500000
"2017-04-17 14:24:00.25",6483,104211,58.82,12.34,70,29.7341,-149,-52.9765,2,10,0.7,-0.2,3.839,0.4955683,-0.8829417,4,17,14,24,0,250000
"2017-04-17 14:24:01.25",6484,104212,55.76,12.32,70,29.7347,-149,-52.9747,2,10,0.7,-0.6,3.64,0.4955783,-0.8829117,4,17,14,24,1,250000
"2017-04-17 14:24:02",6485,104213,45.92,12.34,70,29.7348,-149,-52.9729,2,10,0.7,0.1,2.997,0.49558,-0.8828817,4,17,14,24,2,0
"2017-04-17 14:24:02.5",6486,104214,52.76,12.35,70,29.7365,-149,-52.9692,2,10,0.7,-0.5,3.444,0.4956083,-0.88282,4,17,14,24,2,500000
"2017-04-17 14:24:03.25",6487,104215,66.99,12.35,70,29.7367,-149,-52.9698,2,10,0.7,-0.4,4.373,0.4956117,-0.88283,4,17,14,24,3,250000
"2017-04-17 14:24:04",6488,104216,74.55,12.35,70,29.7371,-149,-52.9696,2,10,0.7,-0.4,4.866,0.4956184,-0.8828267,4,17,14,24,4,0
"2017-04-17 14:24:05",6489,104217,77.94,12.34,70,29.7374,-149,-52.9715,2,10,0.7,-0.8,5.088,0.4956233,-0.8828583,4,17,14,24,5,0
"2017-04-17 14:24:05.75",6490,104218,76.11,12.33,70,29.7384,-149,-52.9727,2,10,0.7,-1.7,4.968,0.49564,-0.8828783,4,17,14,24,5,750000
"2017-04-17 14:24:06.75",6491,104219,92.2,12.35,70,29.7389,-149,-52.9713,2,10,0.7,-1,6.017,0.4956483,-0.882855,4,17,14,24,6,750000
"2017-04-17 14:24:07.75",6492,104220,103.7,12.35,70,29.7399,-149,-52.9698,2,10,0.8,-1.1,6.771,0.495665,-0.88283,4,17,14,24,7.000,750000
"2017-04-17 14:24:08.5",6493,104221,99.5,12.34,70,29.7401,-149,-52.9716,2,10,0.7,-1.2,6.496,0.4956684,-0.88286,4,17,14,24,8,500000
"2017-04-17 14:24:09.25",6494,104222,81.1,12.35,70,29.7408,-149,-52.973,2,10,0.7,-0.1,5.294,0.49568,-0.8828833,4,17,14,24,9,250000
"2017-04-17 14:24:09.75",6495,104223,71.71,12.32,70,29.7417,-149,-52.9737,2,10,0.7,0.4,4.681,0.495695,-0.882895,4,17,14,24,9,750000
"2017-04-17 14:24:10.75",6496,104224,66.16,12.33,70,29.7423,-149,-52.9761,2,10,0.7,0.1,4.318,0.495705,-0.882935,4,17,14,24,10,750000
"2017-04-17 14:24:11.25",6497,104225,53.26,12.33,70,29.7417,-149,-52.9792,2,10,0.7,-0.5,3.476,0.495695,-0.8829866,4,17,14,24,11,250000
"2017-04-17 14:24:12",6498,104226,46.48,12.35,70,29.7417,-149,-52.9808,2,10,0.7,-0.2,3.034,0.495695,-0.8830134,4,17,14,24,12,0
"2017-04-17 14:24:12.5",6499,104227,48.42,12.32,70,29.7424,-149,-52.9832,2,10,0.8,-0.1,3.161,0.4957066,-0.8830534,4,17,14,24,12,500000
"2017-04-17 14:24:13",6500,104228,35.02,12.33,70,29.7424,-149,-52.9871,2,10,0.7,-0.4,2.286,0.4957066,-0.8831183,4,17,14,24,13,0
"2017-04-17 14:24:14",6501,104229,50.87,12.32,70,29.7418,-149,-52.9917,2,10,0.7,-1.2,3.32,0.4956967,-0.883195,4,17,14,24,14,0
"2017-04-17 14:24:14.75",6502,104230,57.09,12.34,70,29.7411,-149,-52.9945,2,10,0.7,-1.6,3.727,0.495685,-0.8832417,4,17,14,24,14,750000
"2017-04-17 14:24:15.5",6503,104231,59.48,12.32,70,29.741,-149,-52.9937,2,10,0.7,-1.1,3.883,0.4956833,-0.8832283,4,17,14,24,15,500000
"2017-04-17 14:24:16.75",6504,104232,68.43,12.32,70,29.7405,-149,-52.9959,2,10,0.7,-1,4.467,0.495675,-0.883265,4,17,14,24,16,750000
"2017-04-17 14:24:17.5",6505,104233,76.33,12.33,70,29.7394,-149,-52.9968,2,10,0.7,-1.6,4.982,0.4956567,-0.88328,4,17,14,24,17,500000
"2017-04-17 14:24:18.5",6506,104234,74.16,12.33,70,29.7387,-149,-52.9963,2,10,0.7,-0.1,4.841,0.495645,-0.8832716,4,17,14,24,18,500000
"2017-04-17 14:24:19.75",6507,104235,81.6,12.33,70,29.7377,-149,-52.9972,2,9,0.8,0.2,5.327,0.4956283,-0.8832866,4,17,14,24,19,750000
"2017-04-17 14:24:21",6508,104236,83.6,12.32,70,29.7378,-149,-52.995,2,10,0.7,0.5,5.454,0.49563,-0.88325,4,17,14,24,21,0
"2017-04-17 14:24:21.75",6509,104237,84.9,12.33,70,29.737,-149,-52.9966,2,10,0.7,0.1,5.545,0.4956166,-0.8832767,4,17,14,24,21,750000
"2017-04-17 14:24:22.5",6510,104238,82.5,12.33,70,29.7359,-149,-52.9964,2,10,0.7,-0.6,5.385,0.4955984,-0.8832733,4,17,14,24,22,500000
"2017-04-17 14:24:23.25",6511,104239,65.04,12.32,70,29.7351,-149,-52.9942,2,10,0.7,0.2,4.245,0.495585,-0.8832367,4,17,14,24,23,250000
"2017-04-17 14:24:23.75",6512,104240,52.2,12.33,70,29.7352,-149,-52.9949,2,10,0.7,0.1,3.407,0.4955867,-0.8832483,4,17,14,24,23,750000
"2017-04-17 14:24:24.25",6513,104241,47.31,12.33,70,29.7344,-149,-52.9934,2,10,0.7,-0.8,3.088,0.4955734,-0.8832234,4,17,14,24,24,250000
"2017-04-17 14:24:24.75",6514,104242,35.41,12.33,70,29.7339,-149,-52.9923,2,10,0.7,-0.5,2.311,0.495565,-0.883205,4,17,14,24,24,750000
"2017-04-17 14:24:25.25",6515,104243,34.13,12.32,70,29.7336,-149,-52.9907,2,10,0.7,0.3,2.228,0.49556,-0.8831783,4,17,14,24,25,250000
"2017-04-17 14:24:26",6516,104244,40.75,12.33,70,29.7333,-149,-52.9888,2,10,0.7,0.1,2.66,0.495555,-0.8831466,4,17,14,24,26,0
