timestamp,counter,Latitude,Longitude,Snow Depth m,geometry
2017-04-12 16:26:38.75,100001,68.6357033,-149.1444533,0.0017000000000000001,POINT (412831.6094236227 7615261.683289971)
2017-04-12 16:26:39.5,99001,68.63589,-149.1456167,-0.0006,POINT (412785.0613778256 7615284.13855059)
2017-04-12 16:26:40.25,99002,68.63589,-149.1456167,0.0,POINT (412785.0613778256 7615284.13855059)
2017-04-12 16:26:40.75,99003,68.63589,-149.1456167,0.0,POINT (412785.0613778256 7615284.13855059)
2017-04-12 16:26:41.5,99004,68.63589,-149.1456167,1.199,POINT (412785.0613778256 7615284.13855059)
2017-04-12 16:26:41.75,99005,68.63589,-149.1456167,1.2,POINT (412785.0613778256 7615284.13855059)
2017-04-12 16:26:42.25,99006,68.63589,-149.1456167,1.199,POINT (412785.0613778256 7615284.13855059)
2017-04-12 16:26:42.75,99007,68.63589,-149.1456167,1.2,POINT (412785.0613778256 7615284.13855059)
2017-04-12 16:26:43.25,99008,68.63589,-149.1456167,-0.0006,POINT (412785.0613778256 7615284.13855059)
2017-04-12 16:26:45.25,99009,68.63589,-149.1456167,-0.0006,POINT (412785.0613778256 7615284.13855059)
2017-04-12 16:26:46.75,99010,68.63589,-149.1456167,0.0,POINT (412785.0613778256 7615284.13855059)
2017-04-12 16:26:47.5,99011,68.63589,-149.1456167,1.199,POINT (412785.0613778256 7615284.13855059)
2017-04-12 16:26:48.25,99012,68.63589,-149.1456167,-0.0011,POINT (412785.0613778256 7615284.13855059)
2017-04-12 16:26:49,121001,68.6358883,-149.145615,0.1182,POINT (412785.1238454409 7615283.946688565)
2017-04-12 16:26:49.75,121002,68.63586,-149.1456017,0.1549,POINT (412785.5542382758 7615280.774016703)
2017-04-12 16:26:50.25,121003,68.6358584,-149.1455983,0.1693,POINT (412785.6861727549 7615280.590888732)
2017-04-12 16:26:50.75,121004,68.6358534,-149.1455934,0.1637,POINT (412785.8658381165 7615280.026730493)
2017-04-12 16:26:51.25,121005,68.6358467,-149.1455883,0.1499,POINT (412786.0470202869 7615279.272836893)
2017-04-12 16:26:52.25,121006,68.6358316,-149.1455867,0.10880000000000001,POINT (412786.0533216455 7615277.587790526)
2017-04-12 16:26:53,121007,68.6358267,-149.1455983,0.12990000000000002,POINT (412785.5629133258 7615277.058169437)
2017-04-12 16:26:53.5,121008,68.6358083,-149.1455817,0.16210000000000002,POINT (412786.1658952546 7615274.984097371)
2017-04-12 16:26:54.25,121009,68.6357916,-149.1455717,0.1565,POINT (412786.5073027615 7615273.10883436)
2017-04-12 16:26:55,121010,68.635785,-149.145575,0.1931,POINT (412786.3475474209 7615272.377994063)
2017-04-12 16:26:56.25,121011,68.6357717,-149.1455833,0.22149999999999997,POINT (412785.9585695195 7615270.907579445)
2017-04-12 16:26:57,121012,68.635755,-149.14558,0.2986,POINT (412786.0277282318 7615269.041815312)
2017-04-12 16:26:58,121013,68.6357383,-149.145575,0.3691,POINT (412786.1659654143 7615267.173641016)
2017-04-12 16:26:58.75,121014,68.6357283,-149.145575,0.47509999999999997,POINT (412786.1270827652 7615266.059218526)
2017-04-12 16:26:59.5,121015,68.6357167,-149.145575,0.5489,POINT (412786.0819788957 7615264.766488439)
2017-04-12 16:27:00.25,121016,68.6357067,-149.14557,0.6970999999999999,POINT (412786.2462679049 7615263.64497722)
2017-04-12 16:27:00.75,121017,68.635695,-149.1455567,0.846,POINT (412786.7412122004 7615262.322246955)
2017-04-12 16:27:01.5,121018,68.635685,-149.1455567,0.94,POINT (412786.7023298946 7615261.207824457)
2017-04-12 16:27:02.25,121019,68.6356717,-149.1455567,1.045,POINT (412786.6506164322 7615259.725642543)
2017-04-12 16:27:03,121020,68.635655,-149.1455567,1.167,POINT (412786.5856829935 7615257.864556979)
2017-04-12 16:27:03.75,121021,68.635635,-149.14556,1.199,POINT (412786.3738246863 7615255.640390542)
2017-04-12 16:27:04.25,121022,68.6356284,-149.1455517,1.199,POINT (412786.6854284564 7615254.893104465)
2017-04-12 16:27:05.5,121023,68.635615,-149.1455533,1.199,POINT (412786.5683111181 7615253.402046709)
2017-04-12 16:27:06.25,121024,68.6356066,-149.1455417,1.199,POINT (412787.0070103927 7615252.449486095)
2017-04-12 16:27:07.5,121025,68.6355934,-149.1455333,1.199,POINT (412787.2970162439 7615250.966539477)
2017-04-12 16:27:08.25,121026,68.63558,-149.1455367,1.198,POINT (412787.1067570544 7615249.478033607)
2017-04-12 16:27:09,121027,68.63557,-149.145555,1.199,POINT (412786.3242623538 7615248.389555681)
2017-04-12 16:27:09.75,121028,68.635575,-149.1455633,1.199,POINT (412786.0064365519 7615248.958534203)
2017-04-12 16:27:10.75,121029,68.6355733,-149.1455617,1.199,POINT (412786.0648418601 7615248.766813986)
2017-04-12 16:27:11.5,121030,68.635565,-149.1455633,1.198,POINT (412785.9675541588 7615247.844111724)
2017-04-12 16:27:12.75,121031,68.6355484,-149.1455383,1.199,POINT (412786.9188748323 7615245.958726904)
2017-04-12 16:27:13.5,121032,68.6355283,-149.1455417,1.2,POINT (412786.7025643255 7615243.723558002)
2017-04-12 16:27:14.25,121033,68.635515,-149.1455333,1.2,POINT (412786.992182578 7615242.229467138)
2017-04-12 16:27:15,121034,68.6355,-149.1455133,1.199,POINT (412787.7465539471 7615240.529478909)
2017-04-12 16:27:16,121035,68.635495,-149.14552,1.198,POINT (412787.4548606224 7615239.981766392)
2017-04-12 16:27:17,121036,68.6354783,-149.1455167,1.2,POINT (412787.5240230334 7615238.116002345)
2017-04-12 16:27:17.75,121037,68.635455,-149.1454983,1.199,POINT (412788.181109183 7615235.493311952)
2017-04-12 16:27:18.5,121038,68.635445,-149.14551,1.199,POINT (412787.6668007714 7615234.395476721)
2017-04-12 16:27:19.25,121039,68.63544,-149.145515,1.199,POINT (412787.4441860022 7615233.845354078)
2017-04-12 16:27:20,121040,68.6354134,-149.1455,1.2,POINT (412787.9502842131 7615230.859724477)
2017-04-12 16:27:20.75,121041,68.6354,-149.1455,1.199,POINT (412787.8981834024 7615229.366398338)
2017-04-12 16:27:21.5,121042,68.6353816,-149.1454783,1.199,POINT (412788.7084197852 7615227.285096675)
2017-04-12 16:27:22.25,121043,68.6353716,-149.14546,1.199,POINT (412789.4131583781 7615226.144730341)
2017-04-12 16:27:23,121044,68.6353517,-149.145485,1.199,POINT (412788.3199118638 7615223.962472025)
2017-04-12 16:27:23.75,121045,68.6353367,-149.14547,1.199,POINT (412788.8711155348 7615222.269572736)
2017-04-12 16:27:24.5,121046,68.6353217,-149.1454667,1.199,POINT (412788.9468901779 7615220.593260583)
2017-04-12 16:27:25.25,121047,68.6353066,-149.14549,1.199,POINT (412787.9413836793 7615218.943515143)
2017-04-12 16:27:26,121048,68.635285,-149.1454517,1.194,POINT (412789.4137249329 7615216.4820646)
2017-04-12 16:27:26.75,121049,68.6352717,-149.14544,1.196,POINT (412789.8374450596 7615214.983295747)
2017-04-12 16:27:27.5,121050,68.6352533,-149.1454467,1.199,POINT (412789.4936501859 7615212.942256822)
2017-04-12 16:27:28.5,121051,68.6352267,-149.1454517,1.138,POINT (412789.1870528648 7615209.984981416)
2017-04-12 16:27:29.25,121052,68.6352267,-149.1454167,1.124,POINT (412790.6092849628 7615209.935362598)
2017-04-12 16:27:30,121053,68.6352083,-149.14542169999999,0.9520000000000001,POINT (412790.3345702413 7615207.891913524)
2017-04-12 16:27:30.5,121054,68.6352,-149.145405,1.036,POINT (412790.9809087671 7615206.943267782)
2017-04-12 16:27:31.25,121055,68.6351866,-149.14542169999999,0.961,POINT (412790.2502012342 7615205.473616675)
2017-04-12 16:27:32,121056,68.6351766,-149.1453983,0.9540000000000001,POINT (412791.1621873911 7615204.326020754)
2017-04-12 16:27:32.5,121057,68.6351517,-149.1454033,0.846,POINT (412790.862201254 7615201.558196991)
2017-04-12 16:27:33.25,121058,68.6351433,-149.1454033,0.878,POINT (412790.8295425749 7615200.622082079)
2017-04-12 16:27:34,121059,68.6351283,-149.145405,0.8440000000000001,POINT (412790.7021433603 7615198.952858342)
2017-04-12 16:27:34.5,121060,68.6351083,-149.1453967,0.7321,POINT (412790.9616585253 7615196.712246701)
2017-04-12 16:27:35.25,121061,68.635095,-149.1453767,0.7132,POINT (412791.7226579723 7615195.201711634)
2017-04-12 16:27:36.25,121062,68.6350833,-149.14538,0.7643000000000001,POINT (412791.5430726506 7615193.902515532)
